City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
195,nanortalik,60.1432,-45.2371,-3.39,81,100,11.95,GL,1675539325
196,alberton,46.8168,-64.0654,-16.05,84,100,14.34,CA,1675539489
197,faya,18.3851,42.4509,12.06,66,86,1.23,SA,1675539489
198,kruisfontein,-34.0033,24.7314,23.1,67,100,2.42,ZA,1675539489
199,saldanha,-33.0117,17.9442,19.03,96,81,6.94,ZA,1675539321
200,nouakchott,18.0858,-15.9785,24.96,25,100,4.98,MR,1675539426
201,souillac,-20.5167,57.5167,26.21,83,40,2.57,MU,1675539024
202,akureyri,65.6835,-18.0878,-0.04,59,75,11.32,IS,1675539490
203,takoradi,4.8845,-1.7554,26.4,81,79,1.78,GH,1675539490
204,morondava,-20.2833,44.2833,27.26,79,0,3.32,MG,1675539491
205,yabelo,4.8833,38.0833,18.48,23,18,4.63,ET,1675539491
206,sechura,-5.5569,-80.8222,28.01,56,95,8.0,PE,1675539491
207,hangu,39.2489,117.7892,-0.98,54,0,3.73,CN,1675539492
208,alice springs,-23.7,133.8833,12.75,88,4,2.06,AU,1675539492
209,husavik,66.0449,-17.3389,-2.46,70,3,5.68,IS,1675539492
210,acarau,-2.8856,-40.12,27.57,76,61,7.21,BR,1675539493
211,thinadhoo,0.5333,72.9333,26.91,70,17,5.59,MV,1675539493
212,kolokani,13.5728,-8.0339,26.38,14,99,4.31,ML,1675539494
213,mosquera,4.7059,-74.2302,19.05,59,75,7.72,CO,1675539244
214,alofi,-19.0595,-169.9187,25.94,83,75,2.57,NU,1675539494
215,jawhar,2.7809,45.5005,22.99,73,10,8.12,SO,1675539495
216,wakkanai,45.4094,141.6739,-5.82,69,100,4.7,JP,1675539495
217,ferkessedougou,9.6,-5.2,29.4,17,0,2.18,CI,1675539495
218,copiapo,-27.3667,-70.3333,22.83,38,0,5.34,CL,1675538822
219,henties bay,-22.116,14.2845,18.03,86,100,3.47,NA,1675539496
220,itaueira,-7.6033,-43.0256,33.77,38,91,0.99,BR,1675539497
221,nishihara,26.1842,127.7558,17.6,78,100,4.12,JP,1675539497
222,vesoul,47.5833,5.8333,6.71,93,45,2.48,FR,1675539497
223,saint anthony,45.0205,-93.218,-1.86,63,100,3.6,US,1675539498
224,whitehorse,60.7161,-135.0538,-11.77,83,100,3.09,CA,1675539498
225,lompoc,34.6391,-120.4579,19.36,67,0,1.54,US,1675539343
226,pontianak,-0.0333,109.3333,23.99,100,40,1.54,ID,1675539499
227,griffith,41.5284,-87.4237,5.17,60,0,9.77,US,1675539499
228,sudzha,51.1976,35.2726,-2.04,94,100,2.7,RU,1675539499
229,barahona,18.2085,-71.1008,31.9,55,20,6.17,DO,1675539500
230,puteyets,65.1716,57.091,-15.15,98,97,1.57,RU,1675539500
231,grand-santi,4.25,-54.3833,25.24,96,91,2.13,GF,1675539500
232,noumea,-22.2763,166.4572,24.99,85,32,4.99,NC,1675538949
233,torbay,47.6666,-52.7314,-13.12,80,100,13.38,CA,1675539357
234,maralal,1.0968,36.698,15.74,57,88,3.14,KE,1675539501
235,bengkulu,-3.8004,102.2655,23.32,90,100,1.92,ID,1675539501
236,clyde river,70.4692,-68.5914,-28.87,57,75,4.12,CA,1675539347
237,shaoyang,27.2315,111.4525,5.75,84,100,1.17,CN,1675539502
238,aykhal,66.0,111.5,-37.52,100,100,1.13,RU,1675539502
239,sambava,-14.2667,50.1667,24.93,90,56,4.39,MG,1675539503
240,port-gentil,-0.7193,8.7815,26.98,89,20,2.57,GA,1675539503
241,taoudenni,22.6783,-3.9836,16.76,31,100,5.54,ML,1675539503
242,potosi,-19.5836,-65.7531,3.29,96,100,1.42,BO,1675539504
243,polovinnoye,54.7914,65.9864,-13.31,97,98,2.15,RU,1675539504
244,adrar,20.5022,-10.0711,17.53,15,100,4.43,MR,1675539505
245,tolaga bay,-38.3667,178.3,20.76,84,5,3.4,NZ,1675539505
246,marawi,7.9986,124.2928,19.38,90,100,0.7,PH,1675539337
247,wasilla,61.5814,-149.4394,-4.83,92,100,1.54,US,1675539505
248,talnakh,69.4865,88.3972,-10.44,96,100,2.72,RU,1675539322
249,belyy yar,53.6039,91.3903,-25.06,92,20,1.0,RU,1675539507
250,matamoros,25.5333,-103.25,20.62,31,0,2.57,MX,1675539507
251,flin flon,54.7682,-101.865,-16.09,72,100,1.54,CA,1675539508
252,bosaso,11.2842,49.1816,22.26,75,72,1.34,SO,1675539508
253,port hardy,50.6996,-127.4199,8.1,87,100,11.83,CA,1675539313
254,hopelchen,19.7667,-89.85,28.2,47,97,2.12,MX,1675539508
255,avarua,-21.2078,-159.775,28.03,78,40,6.69,CK,1675539509
256,alekseyevka,50.6309,38.6903,-4.0,95,94,3.63,RU,1675539509
257,montreal,45.5088,-73.5878,-19.27,56,100,5.66,CA,1675539176
258,zhenlai,45.8495,123.2973,-14.84,86,23,3.24,CN,1675539510
259,kitimat,54.0524,-128.6534,3.21,100,100,1.06,CA,1675539510
